count,experimenter,videoclip_ID,Age,AgeBin,Gender,Condition,NearMissChar,JustInChar,ConditionOrder,HappyFirst,Num_Attempts,Pins_Check,GrayArea_Check,Tim_pins,TimRating,Sam_pins,SamRating,Tim_OR_Sam,explanation,1_emotion_prediction,1_pins_actual,1_BW,1_BWrating,2_emotion_prediction,2_pins_actual,2_BW,2_BWrating,2_Why,2_BeliefRecall,FC_ExperimenterQuestion,FC,FC_why,Said_Both,HighExpectationInitVerbal,HighExpectationInit,HighExpectationBW,HighExpectationRating,HighExpectationRelative,LowExpectationInitVerbal,LowExpectationInit,LowExpectationBW,LowExpectationRating,LowExpectationRelative,FC_Correct,MovedCharacter,Char_InitEmotion_Correct,Experimenter_Error,Pilot
29,andrew,Bowling3_150722_03,4.33,4,0,3,Sally,Annie,NearMiss_First,0,6,1,1,1,0,1,1,1,because he knocked all the pins,happy,1,1,8,sad,1,1,6,,,Sally_Annie,NA,I don't know cause they both knocked down three,1,happy,6,1,8,2,sad,3,1,6,3,0,1,1,1,0
30,andrew,Bowling3_150724_01,5.33,5,1,2,Annie,Sally,JustIn_First,1,4,1,1,1,0,1,1,1,because he knocked the pins down,sad,1,1,6,happy,1,1,6,,,Sally_Annie,Annie,i don't know,1,happy,6,1,6,0,sad,3,1,6,3,0,0,1,1,0
31,andrew,Bowling3_150724_02,4.53,4,1,4,Sally,Annie,JustIn_First,0,4,1,1,1,0,1,1,1,he knocked down all the pins,sad,1,1,6,happy,1,1,6,,,Annie_Sally,Sally,she knocked down some of the pins,0,happy,6,1,6,0,sad,3,1,6,3,0,0,1,1,0
32,andrew,Bowling3_150724_03,4.66,4,1,2,Annie,Sally,JustIn_First,1,5,1,0,0,0,0,0,1,he's sad (Tim),sad,1,1,6,happy,1,0,3,,,Sally_Annie,Sally,she wants to eat a popsicle,0,happy,6,0,3,-3,sad,3,1,6,3,1,1,1,1,0
33,andrew,Bowling3_150731_01,4.59,4,1,3,Sally,Annie,NearMiss_First,1,4,1,1,1,0,1,0,1,Because he knocked all of them over,sad,1,0,2,sad,1,0,6,,,Sally_Annie,both,they both knocked down 3,1,sad,3,0,2,-1,sad,3,0,6,3,0,1,0,1,0
34,andrew,Bowling3_150731_02,5,4,1,3,Sally,Annie,NearMiss_First,0,3,1,1,1,0,1,1,1,Sam hit and Tim didn't hit,happy,1,0,3,happy,1,0,4,,,Sally_Annie,Annie,She didn't know,0,happy,6,0,3,-3,happy,6,0,4,-2,1,1,0,1,0
35,andrew,Bowling3_150731_03,4.69,4,0,4,Sally,Annie,JustIn_First,1,3,1,1,1,0,1,1,1,knocked them out and didn't get the ball out,sad,1,1,4.5,happy,1,1,8,,,Annie_Sally,Sally,Sally is all the way up in the scale,0,happy,6,1,8,2,sad,3,1,4.5,1.5,0,1,1,1,0
36,andrew,Bowling3_150731_04,4.33,4,0,2,Annie,Sally,JustIn_First,0,4,1,1,1,0,1,1,1,Sam knocked down all of them,sad,1,1,5,happy,1,1,8,,,Sally_Annie,Annie,Annie knocked down 3,0,happy,6,1,8,2,sad,3,1,5,2,0,1,1,1,0
37,andrew,Bowling3_150803_01,5.18,5,0,1,Annie,Sally,NearMiss_First,1,10,0,1,1,0,they counted together but he originally said 5,didn't ask,1,because Tim is sad,happy,originally counted 5 again but they counted again,1,8,sad,that many,1,8,,,Annie_Sally,Sally,Annie is sad,0,happy,6,1,8,2,sad,3,1,8,5,1,1,1,1,0
38,andrew,Bowling3_150803_02,5.11,5,0,2,Annie,Sally,JustIn_First,0,5,1,1,1,0,1,1,1,Sam knocked all of the balls,sad,1,1,7,happy,1,0,1,,,Sally_Annie,Sally,Sally was on the happy side,0,happy,6,0,1,-5,sad,3,1,7,4,1,1,1,1,0
